1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
3,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
5,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
7,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
8,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
10,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
12,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
16,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
17,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
19,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
20,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
22,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
24,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
25,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
26,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
27,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
29,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
31,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
32,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
33,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
34,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
35,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
38,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
39,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
40,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
41,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
42,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
47,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
48,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
51,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
52,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
55,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
57,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
62,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
67,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
70,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
71,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
73,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
74,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
83,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
84,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
86,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
89,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
84,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
88,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
90,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
94,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
95,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
96,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
